Seller_ID,Total_Revenue,Total_Orders,Seller_Rank
4869f7a5dfa277a7dca6462dcf3b52b2,249640.7,1132,1
7c67e1448b00f6e969d365cea6b010ab,239536.44,982,2
53243585a1d6dc2643021fd1853d8905,235856.68,358,3
4a3ca9315b744ce9f8e9374361493884,235539.96,1806,4
fa1c13f2614d7b5c4749cbc52fecda94,204084.73,585,5
da8622b14eb17ae2831f4ac5b9dab84a,185192.32,1314,6
7e93a43ef30c4f03f38b393420bc753a,182754.05,336,7
1025f0e2d44d7041d6cf58b6550e0bfa,172860.69,915,8
7a67c85e85bb2ce8582c35f2203ad736,162648.38,1160,9
955fee9216a65b617aa5c0531780ce60,160602.68,1287,10
6560211a19b47992c3666cc44a7e94c0,151265.77,1854,11
1f50f920176fa81dab994f9023523100,142104.98,1404,12
46dc3b2cc0980fb8ec44634e21d2718e,139909.69,521,13
a1043bafd471dff536d0c462352beb48,133745.25,718,14
cc419e0650a3c5ba77189a1882b7556a,129957.41,1706,15
620c87c171fb2a6dd6e8bb4dec959fc6,128909.71,740,16
5dceca129747e92ff8ef7a997dc4f8ca,125816.92,325,17
7d13fca15225358621be4086e1eb0964,122261.02,565,18
3d871de0142ce09b7081e2b9d1733cb1,117347.71,1080,19
edb1ef5e36e0c8cd84eb3c9b003e486d,83189.65,166,20
ccc4bbb5f32a6ab2b7066a4130f114e3,79261.6,187,21
cca3071e3e9bb7d12640c9fbe2301306,78381.29,712,22
8581055ce74af1daba164fdbd55a40de,74584.3,387,23
f7ba60f8c3f99e7ee4042fdef03b70c4,72736.01,219,24
fe2032dab1a61af8794248c8196565c9,70680.95,294,25
de722cd6dad950a92b7d4f82673f8833,65112.75,339,26
7ddcbb64b5bc1ef36ca8c151f6ec77df,63525.29,334,27
04308b1ee57b6625f47df1d56f00eedf,63184.99,94,28
f8db351d8c4c4c22c6835c19a46f01b0,63079.8,667,29
218d46b86c1881d022bce9c68a7d4b15,62737.54,388,30
522620dcb18a6b31cd7bdf73665113a9,61829.81,174,31
25c5c91f63607446a97b143d2d535d31,61679.33,158,32
17e34d8224d27a541263c4c64b11a56b,61603.2,255,33
37be5a7c751166fbc5f8ccba4119e043,61433.88,272,34
ceaec5548eefc6e23e6607c5435102e7,59249.02,203,35
b2ba3715d723d245138f291a6fe42594,58173.02,337,36
17f51e7198701186712e53a39c564617,57812.43,56,37
f5a590cf36251cf1162ea35bef76fe84,57440.94,117,38
